predicted_decile,mean,std,count,annualized_mean_return
1,0.011966779525144964,0.04596233319693452,60,0.14360135430173956
2,0.010940726923268175,0.044240565534209686,60,0.1312887230792181
3,0.010621106281775853,0.039854200334611935,60,0.12745327538131024
4,0.01140463541528753,0.04023142775921378,60,0.13685562498345036
5,0.011349252702785688,0.04161530793686611,60,0.13619103243342826
6,0.011493989468879192,0.04183027392370593,60,0.1379278736265503
7,0.014551367343033606,0.042375206471041,60,0.17461640811640328
8,0.014840949594442232,0.04361347278929032,60,0.1780913951333068
9,0.014264578749346625,0.0466037196226881,60,0.1711749449921595
10,0.018845501321846266,0.05001564599961977,60,0.2261460158621552
