feature,importance
log_market_cap,0.03523247
gold_ret_60d,0.023500688
us_agg_bond_ret_20d,0.023085989
spy_ret_252d,0.021964328
gold_ret_20d,0.020726535
vix_close,0.020622285
ret_252d,0.020493725
spy_ret_60d,0.020387996
rel_momentum_6m,0.020304186
momentum_12m,0.01990941
oil_ret_60d,0.019447802
spy_vol_60d,0.019439083
momentum_12m_skip_1m,0.01913775
spy_vol_20d,0.018763864
dxy_ret_60d,0.0184069
us_agg_bond_ret_60d,0.018332198
rel_strength_252d,0.017948393
rel_momentum_12m,0.01789104
beta_60d,0.017861662
spy_vol_10d,0.017710999
pe_ratio,0.017701725
pb_ratio,0.017411381
spy_ret_120d,0.017316496
debt_to_equity,0.017143648
vix_change_20d,0.017072039
momentum_3m,0.016806638
roe,0.016429307
oil_ret_20d,0.01625446
ret_120d,0.016224697
price_sma200,0.016132923
vol_60d,0.016073454
macd_signal,0.01595281
rel_strength_120d,0.01558924
price_sma50,0.015552625
corr_spy_60d,0.015517278
momentum_6m,0.015418871
rel_strength_60d,0.014740494
vol_20d,0.014717125
sma20_sma50,0.0144891795
atr_14_pct,0.014267694
ret_20d,0.013921193
macd,0.013801799
beta_20d,0.01373283
ret_60d,0.013689667
price_sma20,0.013414541
spy_ret_10d,0.013247638
macd_hist,0.013051007
dxy_ret_20d,0.012751985
corr_spy_20d,0.012709947
spy_ret_20d,0.012028985
vol_10d,0.011961334
rel_strength_5d,0.011873012
rel_strength_20d,0.011275764
stoch_d,0.009990279
spy_vol_5d,0.00964158
rel_strength_10d,0.008928726
stoch_k,0.008526115
spy_ret_1d,0.008261947
rsi_14,0.007821252
volume_sma20_ratio,0.0074780886
ret_10d,0.007344877
spy_ret_5d,0.005911436
ret_1d,0.005354257
vix_change_5d,0.0050479164
ret_2d,0.0049882787
williams_r,0.0044339267
ret_5d,0.0036483344
vol_5d,0.0031838296
volume_change_1d,0.0
