feature,mean_abs_shap
log_market_cap,0.019533187
sma20_sma50,0.0073709236
pb_ratio,0.006215776
debt_to_equity,0.00521204
macd_hist,0.0047575547
spy_ret_252d,0.0042095757
macd_signal,0.0038055268
vol_60d,0.0037312824
rel_strength_252d,0.0034294403
beta_60d,0.003009997
roe,0.0029779358
spy_ret_60d,0.0027114553
rel_strength_60d,0.0025752916
pe_ratio,0.0025598565
corr_spy_60d,0.0025567494
rel_strength_5d,0.0024873593
beta_20d,0.0024461674
rel_strength_120d,0.0024316274
gold_ret_60d,0.00233897
us_agg_bond_ret_20d,0.002249248
ret_252d,0.0021903792
macd,0.0018009628
momentum_12m_skip_1m,0.0017966917
spy_vol_60d,0.0017290202
us_agg_bond_ret_60d,0.0015653193
spy_ret_120d,0.0015195882
price_sma20,0.0014405783
corr_spy_20d,0.0014221361
price_sma200,0.0013841877
dxy_ret_60d,0.0013349298
rel_momentum_12m,0.0012656878
rel_strength_10d,0.0012178281
vix_close,0.001119638
atr_14_pct,0.0010979142
rsi_14,0.0010374172
rel_strength_20d,0.0010330807
oil_ret_60d,0.0010121969
ret_60d,0.0009977897
spy_vol_20d,0.0009813111
ret_1d,0.00087459834
spy_vol_10d,0.00086470717
vix_change_20d,0.0008230136
ret_120d,0.00080411613
vol_20d,0.0007027901
gold_ret_20d,0.00060610316
rel_momentum_6m,0.0005995159
oil_ret_20d,0.00051023875
ret_10d,0.0005067916
momentum_12m,0.0005046335
ret_2d,0.00046085118
spy_ret_20d,0.00042868237
ret_20d,0.00042612368
price_sma50,0.00041012865
momentum_3m,0.00039278113
vol_10d,0.00032912302
stoch_k,0.000258207
stoch_d,0.00022747605
dxy_ret_20d,0.00020437162
spy_ret_10d,0.0001915704
momentum_6m,0.00018577042
spy_vol_5d,0.00012250195
ret_5d,8.138741e-05
vol_5d,6.1171675e-05
williams_r,3.2104344e-05
vix_change_5d,1.5270187e-05
volume_sma20_ratio,1.0232052e-05
spy_ret_5d,4.2357033e-06
spy_ret_1d,2.2469883e-06
volume_change_1d,0.0
