ticker,selection_count,selection_frequency,portfolio_slot_share
BRK-B,26,0.43333333333333335,0.043333333333333335
NFLX,24,0.4,0.04
BKNG,17,0.2833333333333333,0.028333333333333332
CMG,16,0.26666666666666666,0.02666666666666667
APH,16,0.26666666666666666,0.02666666666666667
PRU,14,0.23333333333333334,0.023333333333333334
PANW,13,0.21666666666666667,0.021666666666666667
KMB,12,0.2,0.02
GM,12,0.2,0.02
HPQ,12,0.2,0.02
GLW,11,0.18333333333333332,0.018333333333333333
KHC,10,0.16666666666666666,0.016666666666666666
NVDA,9,0.15,0.015
YUM,9,0.15,0.015
AIG,9,0.15,0.015
F,9,0.15,0.015
HAL,9,0.15,0.015
KDP,8,0.13333333333333333,0.013333333333333334
BIIB,8,0.13333333333333333,0.013333333333333334
IR,8,0.13333333333333333,0.013333333333333334
UBER,8,0.13333333333333333,0.013333333333333334
O,8,0.13333333333333333,0.013333333333333334
NOW,7,0.11666666666666667,0.011666666666666667
FCX,7,0.11666666666666667,0.011666666666666667
C,7,0.11666666666666667,0.011666666666666667
CDNS,7,0.11666666666666667,0.011666666666666667
MMM,7,0.11666666666666667,0.011666666666666667
PPG,7,0.11666666666666667,0.011666666666666667
VRSK,7,0.11666666666666667,0.011666666666666667
NEM,6,0.1,0.01
OKE,6,0.1,0.01
SPG,6,0.1,0.01
BAC,6,0.1,0.01
ADP,6,0.1,0.01
MCD,6,0.1,0.01
MTD,5,0.08333333333333333,0.008333333333333333
DLTR,5,0.08333333333333333,0.008333333333333333
XEL,5,0.08333333333333333,0.008333333333333333
ORLY,5,0.08333333333333333,0.008333333333333333
DOW,5,0.08333333333333333,0.008333333333333333
CTVA,5,0.08333333333333333,0.008333333333333333
FIS,5,0.08333333333333333,0.008333333333333333
OXY,5,0.08333333333333333,0.008333333333333333
SBUX,5,0.08333333333333333,0.008333333333333333
GILD,5,0.08333333333333333,0.008333333333333333
CTAS,5,0.08333333333333333,0.008333333333333333
URI,4,0.06666666666666667,0.006666666666666667
AMD,4,0.06666666666666667,0.006666666666666667
EQIX,4,0.06666666666666667,0.006666666666666667
EXC,4,0.06666666666666667,0.006666666666666667
ANET,4,0.06666666666666667,0.006666666666666667
JPM,4,0.06666666666666667,0.006666666666666667
COF,4,0.06666666666666667,0.006666666666666667
MU,4,0.06666666666666667,0.006666666666666667
WELL,4,0.06666666666666667,0.006666666666666667
DLR,3,0.05,0.005
SLB,3,0.05,0.005
LEN,3,0.05,0.005
TSLA,3,0.05,0.005
AMP,3,0.05,0.005
FDX,3,0.05,0.005
ODFL,3,0.05,0.005
EA,3,0.05,0.005
HLT,3,0.05,0.005
ROST,3,0.05,0.005
USB,3,0.05,0.005
TFC,3,0.05,0.005
WM,3,0.05,0.005
PFE,3,0.05,0.005
PCAR,3,0.05,0.005
REGN,3,0.05,0.005
MET,2,0.03333333333333333,0.0033333333333333335
UPS,2,0.03333333333333333,0.0033333333333333335
VRTX,2,0.03333333333333333,0.0033333333333333335
TT,2,0.03333333333333333,0.0033333333333333335
EOG,2,0.03333333333333333,0.0033333333333333335
PSX,2,0.03333333333333333,0.0033333333333333335
AMAT,2,0.03333333333333333,0.0033333333333333335
CL,2,0.03333333333333333,0.0033333333333333335
BDX,2,0.03333333333333333,0.0033333333333333335
AMZN,2,0.03333333333333333,0.0033333333333333335
LHX,2,0.03333333333333333,0.0033333333333333335
EMR,2,0.03333333333333333,0.0033333333333333335
DD,2,0.03333333333333333,0.0033333333333333335
COR,2,0.03333333333333333,0.0033333333333333335
SHW,2,0.03333333333333333,0.0033333333333333335
GD,2,0.03333333333333333,0.0033333333333333335
WMT,2,0.03333333333333333,0.0033333333333333335
D,2,0.03333333333333333,0.0033333333333333335
QCOM,2,0.03333333333333333,0.0033333333333333335
COP,2,0.03333333333333333,0.0033333333333333335
KR,2,0.03333333333333333,0.0033333333333333335
DHR,2,0.03333333333333333,0.0033333333333333335
SO,2,0.03333333333333333,0.0033333333333333335
AEP,2,0.03333333333333333,0.0033333333333333335
SCHW,2,0.03333333333333333,0.0033333333333333335
WFC,2,0.03333333333333333,0.0033333333333333335
VLO,2,0.03333333333333333,0.0033333333333333335
SRE,2,0.03333333333333333,0.0033333333333333335
XOM,2,0.03333333333333333,0.0033333333333333335
HUM,2,0.03333333333333333,0.0033333333333333335
CHTR,2,0.03333333333333333,0.0033333333333333335
PAYX,2,0.03333333333333333,0.0033333333333333335
JNJ,2,0.03333333333333333,0.0033333333333333335
MRK,2,0.03333333333333333,0.0033333333333333335
GEHC,2,0.03333333333333333,0.0033333333333333335
TJX,2,0.03333333333333333,0.0033333333333333335
LRCX,2,0.03333333333333333,0.0033333333333333335
AMT,2,0.03333333333333333,0.0033333333333333335
INTU,1,0.016666666666666666,0.0016666666666666668
TEL,1,0.016666666666666666,0.0016666666666666668
MAR,1,0.016666666666666666,0.0016666666666666668
AZO,1,0.016666666666666666,0.0016666666666666668
AON,1,0.016666666666666666,0.0016666666666666668
BLK,1,0.016666666666666666,0.0016666666666666668
CSX,1,0.016666666666666666,0.0016666666666666668
FAST,1,0.016666666666666666,0.0016666666666666668
CSCO,1,0.016666666666666666,0.0016666666666666668
AJG,1,0.016666666666666666,0.0016666666666666668
RSG,1,0.016666666666666666,0.0016666666666666668
CRM,1,0.016666666666666666,0.0016666666666666668
ECL,1,0.016666666666666666,0.0016666666666666668
MDT,1,0.016666666666666666,0.0016666666666666668
PSA,1,0.016666666666666666,0.0016666666666666668
PGR,1,0.016666666666666666,0.0016666666666666668
ALL,1,0.016666666666666666,0.0016666666666666668
T,1,0.016666666666666666,0.0016666666666666668
TRV,1,0.016666666666666666,0.0016666666666666668
ETN,1,0.016666666666666666,0.0016666666666666668
META,1,0.016666666666666666,0.0016666666666666668
MCO,1,0.016666666666666666,0.0016666666666666668
APD,1,0.016666666666666666,0.0016666666666666668
MNST,1,0.016666666666666666,0.0016666666666666668
ITW,1,0.016666666666666666,0.0016666666666666668
ELV,1,0.016666666666666666,0.0016666666666666668
KLAC,1,0.016666666666666666,0.0016666666666666668
NXPI,1,0.016666666666666666,0.0016666666666666668
TXN,1,0.016666666666666666,0.0016666666666666668
LLY,1,0.016666666666666666,0.0016666666666666668
GPN,1,0.016666666666666666,0.0016666666666666668
ROP,1,0.016666666666666666,0.0016666666666666668
