predicted_decile,mean,std,count,annualized_mean_return
1,0.008811413094801896,0.03765968648862391,60,0.10573695713762275
2,0.007679684998168924,0.03810437016380469,60,0.09215621997802709
3,0.009532200202242092,0.03982190045619799,60,0.1143864024269051
4,0.011774618584875874,0.040372433176876533,60,0.1412954230185105
5,0.013852916299699031,0.03963715824611924,60,0.16623499559638838
6,0.010406644631622112,0.04231631570694844,60,0.12487973557946534
7,0.012418171960925492,0.04288286794458718,60,0.14901806353110592
8,0.01372023185152479,0.05153430186078836,60,0.16464278221829748
9,0.02133073561383294,0.053391965511861594,60,0.25596882736599524
10,0.020993135460873905,0.059185945243107094,60,0.25191762553048686
