predicted_decile,mean,std,count,annualized_mean_return
1,0.012719597665874651,0.04640418518087398,60,0.1526351719904958
2,0.009484181560624336,0.041445280989815196,60,0.11381017872749204
3,0.009370345419684286,0.0391340839620793,60,0.11244414503621143
4,0.015157241111583382,0.042278452100644806,60,0.18188689333900057
5,0.011072063461151842,0.04200439083547253,60,0.1328647615338221
6,0.010778443328909003,0.04095864528687941,60,0.12934131994690803
7,0.012592335537856787,0.04699198928453319,60,0.15110802645428145
8,0.016071384072541394,0.0425550841732924,60,0.19285660887049672
9,0.013130586975365562,0.045682466522368896,60,0.15756704370438673
10,0.019812227693925835,0.05029038607171652,60,0.23774673232711002
