feature,importance
log_market_cap,462
roe,413
debt_to_equity,405
pb_ratio,403
spy_ret_252d,396
vol_60d,369
pe_ratio,359
spy_vol_60d,330
rel_strength_252d,287
beta_60d,280
gold_ret_60d,253
sma20_sma50,222
oil_ret_60d,221
momentum_12m_skip_1m,214
ret_252d,214
us_agg_bond_ret_20d,211
spy_ret_60d,208
spy_ret_120d,203
rel_strength_120d,202
corr_spy_60d,185
gold_ret_20d,183
beta_20d,170
spy_vol_20d,169
us_agg_bond_ret_60d,169
dxy_ret_60d,162
rel_strength_60d,157
macd_signal,132
price_sma200,130
vol_20d,120
ret_60d,113
vix_close,108
ret_120d,107
corr_spy_20d,102
oil_ret_20d,102
atr_14_pct,100
spy_vol_10d,93
macd,90
macd_hist,89
vix_change_20d,84
rel_strength_20d,83
rel_strength_5d,55
dxy_ret_20d,55
rel_momentum_12m,48
rel_strength_10d,41
vol_10d,39
rel_momentum_6m,39
momentum_12m,28
rsi_14,28
price_sma50,25
ret_20d,25
spy_ret_20d,23
price_sma20,21
ret_10d,21
momentum_6m,19
momentum_3m,18
ret_1d,16
ret_2d,16
spy_ret_10d,16
stoch_d,15
spy_vol_5d,11
vix_change_5d,7
stoch_k,6
spy_ret_5d,4
ret_5d,2
vol_5d,2
williams_r,2
volume_sma20_ratio,2
volume_change_1d,0
spy_ret_1d,0
