predicted_decile,mean,std,count,annualized_mean_return
1,0.010899986773124237,0.04524143452152976,60,0.13079984127749084
2,0.01094767525058286,0.039627759856513824,60,0.1313721030069943
3,0.01064824092183608,0.03877586081986687,60,0.12777889106203294
4,0.013767025971437771,0.0405804132243649,60,0.16520431165725324
5,0.014456575217785782,0.04289853783844849,60,0.17347890261342938
6,0.012377973919602936,0.04180852202677231,60,0.14853568703523523
7,0.01021547970586675,0.04284971894197969,60,0.122585756470401
8,0.012374597664753831,0.04693831584101347,60,0.14849517197704598
9,0.014392537266097488,0.04413616777636251,60,0.17271044719316986
10,0.020225336308150245,0.05331494480253621,60,0.24270403569780294
