feature,importance
log_market_cap,0.13906534716679564
pe_ratio,0.050328241326626576
pb_ratio,0.045177118108319245
momentum_12m_skip_1m,0.031797749663917595
roe,0.027989477346644403
momentum_12m,0.027051091339435306
ret_252d,0.026951423918519877
macd_signal,0.026594502025705194
vol_60d,0.024801984938467924
spy_ret_252d,0.023534423309017467
rel_strength_252d,0.022219993081560457
macd,0.021656094971310238
spy_vol_60d,0.021537109711317177
rel_momentum_12m,0.021398939140993955
debt_to_equity,0.021253098008520484
gold_ret_60d,0.020840813316166596
beta_60d,0.019705722089927217
gold_ret_20d,0.017880139539584367
spy_ret_120d,0.0176014870161503
price_sma200,0.016864047828408227
ret_120d,0.016763385013118103
momentum_6m,0.01646696696800962
corr_spy_60d,0.016227217438174697
sma20_sma50,0.016141572742701605
oil_ret_60d,0.015522005480942444
spy_ret_60d,0.015316104528562692
spy_vol_20d,0.015041129232387577
rel_strength_120d,0.014933836631908075
us_agg_bond_ret_20d,0.014762739343740696
rel_strength_60d,0.014760679415628664
rel_momentum_6m,0.014064715655302755
vol_20d,0.013684678348550555
momentum_3m,0.012753822054221447
us_agg_bond_ret_60d,0.01209888150237105
ret_60d,0.011854049265871698
macd_hist,0.011789886187501566
beta_20d,0.011023617068218956
dxy_ret_60d,0.010496574654832499
vix_close,0.01037299371748787
atr_14_pct,0.00921559592828157
spy_vol_10d,0.008967078114133704
dxy_ret_20d,0.008436431337808494
oil_ret_20d,0.008236976853340844
vix_change_20d,0.007659737865863895
corr_spy_20d,0.007583676355913112
price_sma50,0.0072099777943047515
rel_strength_20d,0.006602997337741823
vol_10d,0.005875967071568729
spy_ret_20d,0.005030200562170955
ret_20d,0.004623394540084894
price_sma20,0.004030848468007948
spy_vol_5d,0.00354423136295103
rel_strength_10d,0.0032123371545737
rsi_14,0.0024118430230902336
ret_10d,0.002354821257639058
rel_strength_5d,0.0023442606796206357
stoch_d,0.0023261142395746576
spy_ret_10d,0.0023116774831396826
vol_5d,0.0019690917993804334
williams_r,0.0017256622307028136
stoch_k,0.0014483855764682793
ret_5d,0.0009854798832896077
volume_sma20_ratio,0.0009274005234197603
vix_change_5d,0.0009201292524354332
spy_ret_5d,0.0008003691081622545
ret_2d,0.00046529512011577704
spy_ret_1d,0.00020193449930142645
ret_1d,0.00017138514716661684
volume_change_1d,8.304033282724988e-05
