ticker,selection_count,selection_frequency,portfolio_slot_share
BKNG,52,0.8666666666666667,0.08666666666666667
BRK-B,46,0.7666666666666667,0.07666666666666666
NFLX,42,0.7,0.07
F,21,0.35,0.035
C,20,0.3333333333333333,0.03333333333333333
GM,19,0.31666666666666665,0.03166666666666667
MCD,17,0.2833333333333333,0.028333333333333332
NVDA,16,0.26666666666666666,0.02666666666666667
PRU,13,0.21666666666666667,0.021666666666666667
HAL,13,0.21666666666666667,0.021666666666666667
OXY,12,0.2,0.02
AIG,11,0.18333333333333332,0.018333333333333333
FCX,11,0.18333333333333332,0.018333333333333333
HPQ,11,0.18333333333333332,0.018333333333333333
KHC,10,0.16666666666666666,0.016666666666666666
EA,10,0.16666666666666666,0.016666666666666666
DOW,10,0.16666666666666666,0.016666666666666666
COF,10,0.16666666666666666,0.016666666666666666
GE,9,0.15,0.015
LEN,8,0.13333333333333333,0.013333333333333334
VLO,8,0.13333333333333333,0.013333333333333334
CMG,7,0.11666666666666667,0.011666666666666667
UBER,7,0.11666666666666667,0.011666666666666667
OKE,7,0.11666666666666667,0.011666666666666667
PPG,7,0.11666666666666667,0.011666666666666667
GPN,7,0.11666666666666667,0.011666666666666667
DD,6,0.1,0.01
SPG,6,0.1,0.01
AMAT,6,0.1,0.01
LRCX,6,0.1,0.01
AVGO,6,0.1,0.01
COP,5,0.08333333333333333,0.008333333333333333
FDX,5,0.08333333333333333,0.008333333333333333
URI,5,0.08333333333333333,0.008333333333333333
IR,5,0.08333333333333333,0.008333333333333333
SLB,5,0.08333333333333333,0.008333333333333333
MU,5,0.08333333333333333,0.008333333333333333
NEM,5,0.08333333333333333,0.008333333333333333
DLR,5,0.08333333333333333,0.008333333333333333
TSLA,4,0.06666666666666667,0.006666666666666667
GLW,4,0.06666666666666667,0.006666666666666667
ROST,4,0.06666666666666667,0.006666666666666667
DLTR,4,0.06666666666666667,0.006666666666666667
PSX,4,0.06666666666666667,0.006666666666666667
FIS,4,0.06666666666666667,0.006666666666666667
T,4,0.06666666666666667,0.006666666666666667
KDP,4,0.06666666666666667,0.006666666666666667
META,4,0.06666666666666667,0.006666666666666667
BDX,4,0.06666666666666667,0.006666666666666667
MET,3,0.05,0.005
AMD,3,0.05,0.005
PANW,3,0.05,0.005
CTVA,3,0.05,0.005
WFC,3,0.05,0.005
ODFL,3,0.05,0.005
ANET,3,0.05,0.005
PAYX,3,0.05,0.005
EXC,3,0.05,0.005
SNPS,2,0.03333333333333333,0.0033333333333333335
QCOM,2,0.03333333333333333,0.0033333333333333335
KLAC,2,0.03333333333333333,0.0033333333333333335
TT,2,0.03333333333333333,0.0033333333333333335
SCHW,2,0.03333333333333333,0.0033333333333333335
MS,2,0.03333333333333333,0.0033333333333333335
GS,2,0.03333333333333333,0.0033333333333333335
USB,2,0.03333333333333333,0.0033333333333333335
WELL,2,0.03333333333333333,0.0033333333333333335
CRM,2,0.03333333333333333,0.0033333333333333335
MMM,2,0.03333333333333333,0.0033333333333333335
KR,2,0.03333333333333333,0.0033333333333333335
TFC,2,0.03333333333333333,0.0033333333333333335
PNC,2,0.03333333333333333,0.0033333333333333335
XEL,2,0.03333333333333333,0.0033333333333333335
ADBE,2,0.03333333333333333,0.0033333333333333335
VRSK,2,0.03333333333333333,0.0033333333333333335
BIIB,2,0.03333333333333333,0.0033333333333333335
GEHC,2,0.03333333333333333,0.0033333333333333335
COR,1,0.016666666666666666,0.0016666666666666668
AAPL,1,0.016666666666666666,0.0016666666666666668
TEL,1,0.016666666666666666,0.0016666666666666668
CTAS,1,0.016666666666666666,0.0016666666666666668
DE,1,0.016666666666666666,0.0016666666666666668
EOG,1,0.016666666666666666,0.0016666666666666668
INTU,1,0.016666666666666666,0.0016666666666666668
SBUX,1,0.016666666666666666,0.0016666666666666668
CSCO,1,0.016666666666666666,0.0016666666666666668
VZ,1,0.016666666666666666,0.0016666666666666668
D,1,0.016666666666666666,0.0016666666666666668
MDT,1,0.016666666666666666,0.0016666666666666668
NEE,1,0.016666666666666666,0.0016666666666666668
SO,1,0.016666666666666666,0.0016666666666666668
CDNS,1,0.016666666666666666,0.0016666666666666668
NXPI,1,0.016666666666666666,0.0016666666666666668
GILD,1,0.016666666666666666,0.0016666666666666668
UPS,1,0.016666666666666666,0.0016666666666666668
ORCL,1,0.016666666666666666,0.0016666666666666668
KMB,1,0.016666666666666666,0.0016666666666666668
FAST,1,0.016666666666666666,0.0016666666666666668
