predicted_decile,mean,std,count,annualized_mean_return
1,0.012882865649041175,0.04356116455315057,60,0.1545943877884941
2,0.012412210291215423,0.038881941862434065,60,0.1489465234945851
3,0.011822110797182412,0.04229666728057083,60,0.14186532956618894
4,0.008654387290382816,0.043463778879380056,60,0.1038526474845938
5,0.013082188394978064,0.04052694150765473,60,0.15698626073973676
6,0.012262847838984419,0.04295605697782558,60,0.14715417406781303
7,0.013783842398694245,0.044076009327964696,60,0.16540610878433093
8,0.014337748155082403,0.04541381398758731,60,0.17205297786098883
9,0.015439724788188653,0.04650858863751848,60,0.18527669745826383
10,0.015905859795152515,0.04780682978586165,60,0.19087031754183018
