ticker,selection_count,selection_frequency,portfolio_slot_share
BRK-B,60,1.0,0.1
BKNG,55,0.9166666666666666,0.09166666666666666
AZO,31,0.5166666666666667,0.051666666666666666
MTD,29,0.48333333333333334,0.04833333333333333
URI,25,0.4166666666666667,0.041666666666666664
TDG,20,0.3333333333333333,0.03333333333333333
MCD,19,0.31666666666666665,0.03166666666666667
NFLX,17,0.2833333333333333,0.028333333333333332
DLTR,14,0.23333333333333334,0.023333333333333334
REGN,12,0.2,0.02
EA,12,0.2,0.02
BLK,11,0.18333333333333332,0.018333333333333333
OXY,11,0.18333333333333332,0.018333333333333333
HPQ,11,0.18333333333333332,0.018333333333333333
FCX,10,0.16666666666666666,0.016666666666666666
SNPS,9,0.15,0.015
HAL,9,0.15,0.015
IR,9,0.15,0.015
TSLA,8,0.13333333333333333,0.013333333333333334
PH,8,0.13333333333333333,0.013333333333333334
EQIX,8,0.13333333333333333,0.013333333333333334
AMP,8,0.13333333333333333,0.013333333333333334
F,7,0.11666666666666667,0.011666666666666667
CHTR,7,0.11666666666666667,0.011666666666666667
BIIB,6,0.1,0.01
CMG,6,0.1,0.01
LEN,6,0.1,0.01
GLW,6,0.1,0.01
VLO,6,0.1,0.01
MCK,6,0.1,0.01
INTU,6,0.1,0.01
LLY,6,0.1,0.01
FDX,5,0.08333333333333333,0.008333333333333333
OKE,5,0.08333333333333333,0.008333333333333333
HUM,5,0.08333333333333333,0.008333333333333333
COST,5,0.08333333333333333,0.008333333333333333
ODFL,4,0.06666666666666667,0.006666666666666667
DLR,4,0.06666666666666667,0.006666666666666667
COF,4,0.06666666666666667,0.006666666666666667
GPN,4,0.06666666666666667,0.006666666666666667
TT,4,0.06666666666666667,0.006666666666666667
NEM,4,0.06666666666666667,0.006666666666666667
META,4,0.06666666666666667,0.006666666666666667
MU,4,0.06666666666666667,0.006666666666666667
DOW,4,0.06666666666666667,0.006666666666666667
VRTX,3,0.05,0.005
NOC,3,0.05,0.005
SPG,3,0.05,0.005
COR,3,0.05,0.005
EOG,3,0.05,0.005
UBER,3,0.05,0.005
ROST,3,0.05,0.005
ADBE,3,0.05,0.005
TFC,3,0.05,0.005
USB,3,0.05,0.005
PANW,3,0.05,0.005
GS,3,0.05,0.005
COP,2,0.03333333333333333,0.0033333333333333335
SLB,2,0.03333333333333333,0.0033333333333333335
ANET,2,0.03333333333333333,0.0033333333333333335
GM,2,0.03333333333333333,0.0033333333333333335
KLAC,2,0.03333333333333333,0.0033333333333333335
PSX,2,0.03333333333333333,0.0033333333333333335
XEL,2,0.03333333333333333,0.0033333333333333335
FIS,2,0.03333333333333333,0.0033333333333333335
SCHW,2,0.03333333333333333,0.0033333333333333335
DD,2,0.03333333333333333,0.0033333333333333335
CDNS,2,0.03333333333333333,0.0033333333333333335
DE,1,0.016666666666666666,0.0016666666666666668
AMAT,1,0.016666666666666666,0.0016666666666666668
NXPI,1,0.016666666666666666,0.0016666666666666668
LHX,1,0.016666666666666666,0.0016666666666666668
RSG,1,0.016666666666666666,0.0016666666666666668
PPG,1,0.016666666666666666,0.0016666666666666668
PSA,1,0.016666666666666666,0.0016666666666666668
AON,1,0.016666666666666666,0.0016666666666666668
ORLY,1,0.016666666666666666,0.0016666666666666668
APH,1,0.016666666666666666,0.0016666666666666668
FAST,1,0.016666666666666666,0.0016666666666666668
EXC,1,0.016666666666666666,0.0016666666666666668
WELL,1,0.016666666666666666,0.0016666666666666668
PEG,1,0.016666666666666666,0.0016666666666666668
ROP,1,0.016666666666666666,0.0016666666666666668
ALL,1,0.016666666666666666,0.0016666666666666668
AIG,1,0.016666666666666666,0.0016666666666666668
MET,1,0.016666666666666666,0.0016666666666666668
VRSK,1,0.016666666666666666,0.0016666666666666668
GE,1,0.016666666666666666,0.0016666666666666668
CI,1,0.016666666666666666,0.0016666666666666668
CAT,1,0.016666666666666666,0.0016666666666666668
MSI,1,0.016666666666666666,0.0016666666666666668
BDX,1,0.016666666666666666,0.0016666666666666668
KDP,1,0.016666666666666666,0.0016666666666666668
CTVA,1,0.016666666666666666,0.0016666666666666668
ELV,1,0.016666666666666666,0.0016666666666666668
ISRG,1,0.016666666666666666,0.0016666666666666668
